,выручка,дата_открытия
505,44624448.82,Средний по возрасту
506,47280808.507,Средний по возрасту
507,44349868.967,Средний по возрасту
508,44601296.799,Средний по возрасту
509,42185201.565,Средний по возрасту
510,43070095.302,Средний по возрасту
511,23353239.878,Средний по возрасту
512,44733357.017,Средний по возрасту
513,48621353.379,Средний по возрасту
514,52705967.61,Средний по возрасту
515,59996199.676,Средний по возрасту
516,40500312.211,Средний по возрасту
517,44011821.404,Средний по возрасту
518,50837726.356,Средний по возрасту
519,49586727.649,Средний по возрасту
520,53602049.019,Средний по возрасту
521,49129978.205,Средний по возрасту
522,51799332.762,Средний по возрасту
523,49817120.255,Средний по возрасту
524,47422714.097,Средний по возрасту
525,50248269.025,Средний по возрасту
526,50514294.515,Средний по возрасту
527,60966419.837,Средний по возрасту
528,58560526.322,Средний по возрасту
529,58740226.886,Средний по возрасту
530,63706539.705,Средний по возрасту
531,61283311.815,Средний по возрасту
532,60744914.82,Средний по возрасту
533,57006320.535,Средний по возрасту
534,55834417.431,Средний по возрасту
535,57281928.73,Средний по возрасту
536,60823725.492,Средний по возрасту
537,66760328.193,Средний по возрасту
538,69212785.406,Средний по возрасту
539,77070931.143,Средний по возрасту
540,53273050.7,Средний по возрасту
541,57258732.578,Средний по возрасту
542,64051286.302,Средний по возрасту
543,65259134.391,Средний по возрасту
544,66422466.559,Средний по возрасту
545,61761502.903,Средний по возрасту
546,63841314.127,Средний по возрасту
547,58990477.797,Средний по возрасту
548,63253459.892,Средний по возрасту
549,62029949.198,Средний по возрасту
550,64598085.821,Средний по возрасту
551,72058632.081,Средний по возрасту
552,80970427.148,Средний по возрасту
553,84211537.193,Средний по возрасту
554,92527875.366,Средний по возрасту
555,91149299.054,Средний по возрасту
556,90292015.966,Средний по возрасту
557,80192733.482,Средний по возрасту
558,75549386.454,Средний по возрасту
559,76315906.531,Средний по возрасту
560,81053899.133,Средний по возрасту
561,88747983.657,Средний по возрасту
562,92762904.139,Средний по возрасту
563,108959767.172,Средний по возрасту
564,45458876.551,Средний по возрасту
565,48789958.636,Средний по возрасту
566,56142870.627,Средний по возрасту
567,57513078.436,Средний по возрасту
568,58008530.206,Средний по возрасту
569,56816970.064,Средний по возрасту
570,54618854.972,Средний по возрасту
571,54739834.754,Средний по возрасту
572,55830593.65,Средний по возрасту
573,56478908.472,Средний по возрасту
574,56394146.326,Средний по возрасту
575,62834849.475,Средний по возрасту
576,62451766.85,Средний по возрасту
577,63355657.969,Средний по возрасту
578,70453397.878,Средний по возрасту
579,67346745.264,Средний по возрасту
580,70407413.604,Средний по возрасту
581,63896739.084,Средний по возрасту
582,64691140.072,Средний по возрасту
583,64218535.629,Средний по возрасту
584,64566280.536,Средний по возрасту
585,69647852.384,Средний по возрасту
586,72585192.765,Средний по возрасту
587,86861896.498,Средний по возрасту
588,42171520.667,Средний по возрасту
589,43791412.524,Средний по возрасту
590,47596107.125,Средний по возрасту
591,46748098.425,Средний по возрасту
592,49673527.661,Средний по возрасту
593,46438058.233,Средний по возрасту
594,48391367.614,Средний по возрасту
595,47795942.583,Средний по возрасту
596,47687484.289,Средний по возрасту
597,48272338.981,Средний по возрасту
598,47534556.862,Средний по возрасту
599,54977889.018,Средний по возрасту
600,49839909.395,Средний по возрасту
601,50573830.739,Средний по возрасту
602,56707171.616,Средний по возрасту
603,53950827.636,Средний по возрасту
604,52966240.941,Средний по возрасту
605,50559985.252,Средний по возрасту
606,49181845.834,Средний по возрасту
607,47090864.112,Средний по возрасту
608,50111505.575,Средний по возрасту
609,54877890.384,Средний по возрасту
610,56862077.339,Средний по возрасту
611,63699514.178,Средний по возрасту
612,29413739.528,Средний по возрасту
613,32401324.567,Средний по возрасту
614,36217479.307,Средний по возрасту
615,36593607.225,Средний по возрасту
616,36746705.083,Средний по возрасту
617,34827231.357,Средний по возрасту
618,37974057.815,Средний по возрасту
619,36742058.148,Средний по возрасту
620,36203285.515,Средний по возрасту
621,37770358.152,Средний по возрасту
622,37389367.219,Средний по возрасту
623,40526691.241,Средний по возрасту
624,66658062.561,Средний по возрасту
625,21729465.537,Средний по возрасту
626,93946487.68,Средний по возрасту
627,104092641.122,Средний по возрасту
628,97618682.096,Средний по возрасту
629,89682253.027,Средний по возрасту
630,81898802.608,Средний по возрасту
631,77550552.285,Средний по возрасту
632,100741724.568,Средний по возрасту
633,110668044.331,Средний по возрасту
634,110420537.073,Средний по возрасту
635,120518707.522,Средний по возрасту
636,36020736.435,Средний по возрасту
637,36061983.459,Средний по возрасту
638,42729511.264,Средний по возрасту
639,41059562.158,Средний по возрасту
640,36789100.152,Средний по возрасту
641,34567877.411,Средний по возрасту
642,35439598.336,Средний по возрасту
643,34042634.337,Средний по возрасту
644,36404299.342,Средний по возрасту
645,37645752.332,Средний по возрасту
646,38446944.593,Средний по возрасту
647,42732169.375,Средний по возрасту
648,46331382.729,Средний по возрасту
649,44706496.286,Средний по возрасту
650,47562613.235,Средний по возрасту
651,45308491.555,Средний по возрасту
652,48388790.374,Средний по возрасту
653,43186142.478,Средний по возрасту
654,44073554.546,Средний по возрасту
655,44877146.809,Средний по возрасту
656,44922682.453,Средний по возрасту
657,47166690.829,Средний по возрасту
658,47434447.18,Средний по возрасту
659,54126631.499,Средний по возрасту
660,71248184.403,Средний по возрасту
661,73841463.078,Средний по возрасту
662,80608204.128,Средний по возрасту
663,76666495.759,Средний по возрасту
664,74369835.93,Средний по возрасту
665,72565608.855,Средний по возрасту
666,70972174.481,Средний по возрасту
667,69671968.435,Средний по возрасту
668,75799593.911,Средний по возрасту
669,81719451.025,Средний по возрасту
670,82320385.889,Средний по возрасту
671,94199555.739,Средний по возрасту
672,67022442.723,Средний по возрасту
673,67235868.61,Средний по возрасту
674,75481107.009,Средний по возрасту
675,71525970.568,Средний по возрасту
676,74734904.069,Средний по возрасту
677,67799382.546,Средний по возрасту
678,70558587.194,Средний по возрасту
679,68911601.357,Средний по возрасту
680,67926459.605,Средний по возрасту
681,75055382.784,Средний по возрасту
682,74982707.658,Средний по возрасту
683,85103348.225,Средний по возрасту
684,64334875.924,Средний по возрасту
685,68631883.824,Средний по возрасту
686,74042329.196,Средний по возрасту
687,72263032.756,Средний по возрасту
688,74237328.118,Средний по возрасту
689,73064085.978,Средний по возрасту
690,68476413.754,Средний по возрасту
691,62101162.867,Средний по возрасту
692,62089129.441,Средний по возрасту
693,63942093.495,Средний по возрасту
694,63113989.256,Средний по возрасту
695,71401815.856,Средний по возрасту
696,54722669.068,Средний по возрасту
697,57487336.072,Средний по возрасту
698,64124934.944,Средний по возрасту
699,63193410.281,Средний по возрасту
700,66349226.339,Средний по возрасту
701,69285324.245,Средний по возрасту
702,70014873.648,Средний по возрасту
703,64972857.055,Средний по возрасту
704,60605807.278,Средний по возрасту
705,61718652.82,Средний по возрасту
706,63954991.41,Средний по возрасту
707,82944270.921,Средний по возрасту
708,42449724.38,Средний по возрасту
709,43708989.384,Средний по возрасту
710,47214290.418,Средний по возрасту
711,44121493.185,Средний по возрасту
712,49017278.855,Средний по возрасту
713,43457047.999,Средний по возрасту
714,43067327.449,Средний по возрасту
715,41430600.189,Средний по возрасту
716,39162818.878,Средний по возрасту
717,41176194.744,Средний по возрасту
718,43551408.615,Средний по возрасту
719,43483851.188,Средний по возрасту
720,130786508.698,Средний по возрасту
721,133861763.8,Средний по возрасту
722,146971530.877,Средний по возрасту
723,143601844.862,Средний по возрасту
724,152726287.331,Средний по возрасту
725,144508902.92,Средний по возрасту
726,143326298.078,Средний по возрасту
727,142710506.5,Средний по возрасту
728,143144212.92,Средний по возрасту
729,149891345.222,Средний по возрасту
730,151710091.775,Средний по возрасту
731,172304027.155,Средний по возрасту
732,64356554.465,Средний по возрасту
733,52755822.058,Средний по возрасту
734,50003067.956,Средний по возрасту
735,42236083.878,Средний по возрасту
736,39289683.899,Средний по возрасту
737,36410580.407,Средний по возрасту
738,37893630.329,Средний по возрасту
739,37684834.604,Средний по возрасту
740,37049780.913,Средний по возрасту
741,38354918.077,Средний по возрасту
742,38481360.54,Средний по возрасту
743,42328192.306,Средний по возрасту
744,25891326.176,Средний по возрасту
745,24547039.846,Средний по возрасту
746,25330998.772,Средний по возрасту
747,26938161.904,Средний по возрасту
748,26951773.172,Средний по возрасту
749,25329210.295,Средний по возрасту
750,27210042.966,Средний по возрасту
751,26907057.286,Средний по возрасту
752,27526212.324,Средний по возрасту
753,29230172.592,Средний по возрасту
754,29871860.779,Средний по возрасту
755,35060459.682,Средний по возрасту
756,51513988.882,Средний по возрасту
757,52640601.643,Средний по возрасту
758,54940146.309,Средний по возрасту
759,54585052.112,Средний по возрасту
760,51274349.482,Средний по возрасту
761,47891049.267,Средний по возрасту
762,44810160.218,Средний по возрасту
763,46327842.376,Средний по возрасту
764,49859679.053,Средний по возрасту
765,52046363.977,Средний по возрасту
766,56454621.139,Средний по возрасту
767,62416110.502,Средний по возрасту
768,54684915.48,Средний по возрасту
769,57398289.281,Средний по возрасту
770,63077999.848,Средний по возрасту
771,59172774.079,Средний по возрасту
772,60262099.745,Средний по возрасту
773,54974911.027,Средний по возрасту
774,51475710.51,Средний по возрасту
775,51570084.744,Средний по возрасту
776,55616241.808,Средний по возрасту
777,61403809.148,Средний по возрасту
778,64607506.877,Средний по возрасту
779,71332045.067,Средний по возрасту
780,48571586.962,Средний по возрасту
781,50240701.838,Средний по возрасту
782,58247072.43,Средний по возрасту
783,57515732.606,Средний по возрасту
784,62429991.524,Средний по возрасту
785,61131044.326,Средний по возрасту
786,62398316.387,Средний по возрасту
787,64233034.119,Средний по возрасту
788,64136722.457,Средний по возрасту
789,67003870.902,Средний по возрасту
790,66590528.056,Средний по возрасту
791,72209037.527,Средний по возрасту
792,73860757.799,Средний по возрасту
793,81262739.078,Средний по возрасту
794,89902960.169,Средний по возрасту
795,89824335.404,Средний по возрасту
796,92116243.916,Средний по возрасту
797,92162663.643,Средний по возрасту
798,96130949.031,Средний по возрасту
799,88880951.159,Средний по возрасту
800,93618684.721,Средний по возрасту
801,94694719.273,Средний по возрасту
802,88290671.116,Средний по возрасту
803,101619346.55,Средний по возрасту
804,25715130.106,Средний по возрасту
805,23823754.869,Средний по возрасту
806,28210322.829,Средний по возрасту
807,26071647.958,Средний по возрасту
808,27391538.899,Средний по возрасту
809,26480103.317,Средний по возрасту
810,29544034.776,Средний по возрасту
811,26380982.707,Средний по возрасту
812,26900697.512,Средний по возрасту
813,31965503.507,Средний по возрасту
814,28669695.929,Средний по возрасту
815,32560165.315,Средний по возрасту
816,53972229.437,Средний по возрасту
817,55564841.933,Средний по возрасту
818,63795095.24,Средний по возрасту
819,61662741.561,Средний по возрасту
820,64080267.276,Средний по возрасту
821,54651767.006,Средний по возрасту
822,52145248.8,Средний по возрасту
